code,value,id,name_y,POINT_X,POINT_Y,2019,2020,2023,2020_change_rate,2023_change_rate,change
230700,1203804.0,66,伊春市,129.2115013,47.81182503,0.16551433,0.0,0.307724111,-0.16551433,0.307724111,d-u
230800,2685895.0,67,佳木斯市,133.690069,47.86184247,0.286681819,0.018845148,0.373540368,-0.267836671,0.35469522,d-u
230900,960009.0,68,七台河市,131.0123837,45.85194838,0.181586818,0.0,0.140899897,-0.181586818,0.140899897,d-u
231000,2935512.0,69,牡丹江市,129.8880847,44.59627157,0.262172936,0.202627264,0.274913905,-0.059545672,0.072286641,d-u
231100,1755444.0,70,黑河市,126.9859024,49.26322384,0.197565506,0.001346569,0.370122655,-0.196218937,0.368776086,d-u
231200,5687655.0,71,绥化市,126.6454849,46.89348727,0.297864647,0.032636241,0.38638649,-0.2652284059999999,0.353750249,d-u
232700,499778.0,72,大兴安岭地区,124.2036324,52.32577199,0.184301625,0.0,0.114400534,-0.184301625,0.114400534,d-u
310000,24139287.0,73,上海市,121.4690652,31.24009326,0.523118804,0.504467139,0.496466819,-0.018651665,-0.0080003199999999,s-s
320100,8393073.0,74,南京市,118.8425332,31.92763631,0.651732317,0.635554216,0.617625392,-0.016178101,-0.0179288239999999,s-s
320200,6687999.0,75,无锡市,120.3291946,31.68986842,0.481655071,0.512710664,0.558552623,0.0310555929999999,0.0458419589999999,s-s
320300,8984796.0,76,徐州市,117.5138827,34.26609477,0.550541142,0.55008096,0.523385812,-0.000460182,-0.0266951479999999,s-s
320400,4815111.0,77,常州市,119.9346401,31.77853088,0.578491335,0.637239988,0.614552015,0.0587486529999999,-0.022687973,u-s
320500,10971776.0,78,苏州市,120.6516006,31.38133263,0.459593359,0.501758166,0.486573963,0.042164807,-0.015184203,s-s
320600,7638316.0,79,南通市,121.0216297,32.18588122,0.543737922,0.518395645,0.587072485,-0.025342277,0.0686768399999999,s-u
320700,4617257.0,80,连云港市,119.1079519,34.62710324,0.584528535,0.480866604,0.581229347,-0.103661931,0.1003627429999999,d-u
320800,5059158.0,81,淮安市,118.9637737,33.35290544,0.580375786,0.565992872,0.596392025,-0.0143829139999999,0.0303991529999999,s-s
320900,7611390.0,82,盐城市,120.1829413,33.50904245,0.64616524,0.536924253,0.58525774,-0.1092409869999999,0.0483334869999999,d-s
321000,4676958.0,83,扬州市,119.4741723,32.73817486,0.593276057,0.595660771,0.633557063,0.002384714,0.037896292,s-s
321100,3263982.0,84,镇江市,119.4672106,32.06888291,0.484228609,0.644436884,0.56421103,0.160208275,-0.080225854,u-d
321200,4847623.0,85,泰州市,120.0567069,32.57135591,0.653544006,0.698593265,0.643795618,0.045049259,-0.054797647,s-d
321300,4899338.0,86,宿迁市,118.5201887,33.78415428,0.662890217,0.594973513,0.547037933,-0.0679167039999999,-0.0479355799999999,d-s
330100,9113627.0,87,杭州市,119.4700253,29.90028508,0.674225403,0.602508798,0.530384955,-0.0717166049999999,-0.0721238429999999,d-d
330200,7953633.0,88,宁波市,121.4472793,29.75375415,0.654739119,0.650313694,0.591159765,-0.0044254249999999,-0.059153929,s-d
