id,name,city_id_Amap,POINT_X,POINT_Y
184,长沙市,430100,113.1530686,28.22690849
185,株洲市,430200,113.5164338,27.11983518
186,湘潭市,430300,112.5404638,27.70224085
187,衡阳市,430400,112.5743855,26.79436065
188,邵阳市,430500,110.8746939,26.91362303
189,岳阳市,430600,113.2544875,29.0653122
190,常德市,430700,111.5195467,29.30011326
191,张家界市,430800,110.5255853,29.39360373
191,张家界市,430800,110.5255853,29.39360373
192,益阳市,430900,111.951003,28.57510964
193,郴州市,431000,113.1367444,25.81469595
194,永州市,431100,111.7294365,25.77465205
195,怀化市,431200,110.0753731,27.54885027
196,娄底市,431300,111.2061696,27.85937945
197,湘西土家族苗族自治州,433100,109.7269277,28.6946923
198,广州市,440100,113.534913,23.35353765
199,韶关市,440200,113.7745254,24.82050491
200,深圳市,440300,113.9694664,22.66192176
201,珠海市,440400,113.2331956,22.14621552
202,汕头市,440500,116.5764025,23.29456009
203,佛山市,440600,112.9444508,23.00640786
204,江门市,440700,112.668483,22.29772662
205,湛江市,440800,110.3153565,20.4664191
206,茂名市,440900,110.9509804,22.01536935
207,肇庆市,441200,112.2053493,23.53755271
208,惠州市,441300,114.4982324,23.24368647
209,梅州市,441400,116.0792072,24.20278157
210,汕尾市,441500,115.5324429,23.01478049
211,河源市,441600,114.9576599,24.04448717
212,阳江市,441700,111.7697497,22.04568024
213,清远市,441800,112.8744778,24.3147376
214,东莞市,441900,113.8838798,22.98704535
215,中山市,442000,113.3843708,22.52046658
216,潮州市,445100,116.7721161,23.79625625
217,揭阳市,445200,116.1169032,23.33832371
218,云浮市,445300,111.7841318,22.87383432
219,南宁市,450100,108.463204,23.05701343
220,柳州市,450200,109.3713495,24.94763523
221,桂林市,450300,110.5141663,25.35499997
222,梧州市,450400,110.9912815,23.2005409
223,北海市,450500,109.3347867,21.68204536
224,防城港市,450600,107.9957157,21.88450163
225,钦州市,450700,109.0262172,22.18458973
226,贵港市,450800,109.9985092,23.30829265
227,玉林市,450900,110.1814531,22.44128774
228,百色市,451000,107.0238442,23.66909186
229,贺州市,451100,111.3622823,24.35972994
230,河池市,451200,107.861436,24.3655082
231,来宾市,451300,109.4340344,23.64566645
232,崇左市,451400,107.2734696,22.50302151
233,海口市,460100,110.4209458,19.83172461
234,三亚市,460200,109.4183047,18.39351685
235,儋州市,460400,109.4022146,19.56772251
236,五指山市,469001,109.507475,18.82570302
237,琼海市,469002,110.4027496,19.21080525
238,文昌市,469005,110.7695764,19.74563874
239,万宁市,469006,110.2814075,18.83571583
240,东方市,469007,108.8401876,18.99429695
241,定安县,469021,110.3076251,19.48515449
242,屯昌县,469022,110.0511244,19.34290429
243,澄迈县,469023,109.9851436,19.68841738
244,临高县,469024,109.7132667,19.80191504
245,白沙黎族自治县,469025,109.3479248,19.21140469
246,昌江黎族自治县,469026,108.9787783,19.31821237
247,乐东黎族自治县,469027,109.0523074,18.65419959
248,陵水黎族自治县,469028,109.9379033,18.57157194
249,保亭黎族苗族自治县,469029,109.6465777,18.59140979
250,琼中黎族苗族自治县,469030,109.8509447,19.03516864
251,重庆市,500000,107.874403,30.05722342
252,成都市,510100,103.9299544,30.65342702
253,自贡市,510300,104.9642106,29.22428741
254,攀枝花市,510400,101.7299564,26.80659978
255,泸州市,510500,105.4509562,28.55072564
256,德阳市,510600,104.4350155,31.13018393
257,绵阳市,510700,104.7032605,31.8489839
258,广元市,510800,105.7824895,32.26219851
259,遂宁市,510900,105.4716257,30.63161468
260,内江市,511000,104.9113969,29.64068851
261,乐山市,511100,103.5703616,29.21607378
262,南充市,511300,106.2037808,31.19561078
263,眉山市,511400,104.0908138,29.99575674
264,宜宾市,511500,104.6356153,28.57325794
265,广安市,511600,106.6633118,30.42621804
266,达州市,511700,107.644772,31.36588372
267,雅安市,511800,102.6638011,29.91221795
268,巴中市,511900,107.0380279,32.01703734
269,资阳市,512000,105.1153914,30.10038831
270,阿坝藏族羌族自治州,513200,102.6094439,32.40024295
271,甘孜藏族自治州,513300,99.99701819,30.94856032
272,凉山彝族自治州,513400,102.0796231,27.88693667
273,贵阳市,520100,106.7064717,26.8415517
274,六盘水市,520200,104.6615864,25.87215448
275,遵义市,520300,107.0849211,28.16852533
276,安顺市,520400,105.9490019,25.99505999
277,毕节市,520500,105.2126886,27.06641458
278,铜仁市,520600,108.5412675,27.97187811
279,黔西南布依族苗族自治州,522300,105.4643829,25.26552199
280,黔东南苗族侗族自治州,522600,108.5575473,26.5057259
281,黔南布依族苗族自治州,522700,107.2500744,26.0131076
282,昆明市,530100,102.8728056,25.38711448
283,曲靖市,530300,103.9377414,25.70356472
284,玉溪市,530400,101.7428399,23.9193061
285,保山市,530500,98.97093904,24.97673568
286,昭通市,530600,104.0021511,27.65349544
287,丽江市,530700,100.5239007,26.94066077
288,普洱市,530800,100.7203563,23.18600938
289,临沧市,530900,99.6092915,23.79702732
290,楚雄彝族自治州,532300,101.5680705,25.35191018
291,红河哈尼族彝族自治州,532500,103.0350487,23.43975774
292,文山壮族苗族自治州,532600,104.714447,23.68899453
293,西双版纳傣族自治州,532800,100.8932101,22.10998956
294,大理白族自治州,532900,100.0392327,25.72799586
295,德宏傣族景颇族自治州,533100,98.08502122,24.55900091
296,怒江傈僳族自治州,533300,99.26595518,26.62832663
297,迪庆藏族自治州,533400,99.43976826,27.95698272
298,拉萨市,540100,91.08977786,30.03699292
299,林芝市,540400,95.24369372,29.20196873
300,西安市,610100,108.7918545,34.10692425
301,铜川市,610200,109.0321533,35.19566517
302,宝鸡市,610300,107.2000299,34.37878942
303,咸阳市,610400,108.3904668,34.78453823
304,渭南市,610500,109.8507668,34.95004769
305,延安市,610600,109.3152027,36.43718397
306,汉中市,610700,107.1015142,33.09055454
307,榆林市,610800,109.5662544,38.03781757
308,安康市,610900,108.9265447,32.75723318
309,商洛市,611000,109.9012688,33.64709694
310,兰州市,620100,103.6541867,36.35004255
311,嘉峪关市,620200,98.20961949,39.82902699
312,金昌市,620300,102.0469365,38.43257257
313,白银市,620400,105.0308675,36.22963886
314,天水市,620500,105.7372083,34.64769464
315,武威市,620600,103.0589664,38.17695972
316,张掖市,620700,99.82780288,38.95299234
317,平凉市,620800,107.2305251,35.19857531
318,酒泉市,620900,96.05566336,40.26018494
319,庆阳市,621000,107.5905504,36.16202142
320,定西市,621100,104.4525105,35.11986746
321,陇南市,621200,105.2203504,33.59727011
322,临夏回族自治州,622900,103.2801699,35.63018333
323,甘南藏族自治州,623000,102.7612846,34.85908713
324,西宁市,630100,101.437458,36.82797011
325,海东市,630200,102.3436915,36.33201517
326,海北藏族自治州,632200,100.3029106,37.75892498
327,海南藏族自治州,632500,100.2533286,35.90236205
328,海西蒙古族藏族自治州,632800,94.90238236,37.00336841
329,银川市,640100,106.0832408,38.51412144
330,石嘴山市,640200,106.513046,39.00650282
