city,2019,2020,2023,2020_change_rate,2023_change_rate,change,name
54,0.429095065,0.597297689,0.36835471,39.19938441,-38.32979488,u-d,辽源市
105,0.429035613,0.242507495,0.323010603,-43.47613866,33.19613194,d-u,安庆市
8,0.428906189,0.503449789,0.493150069,17.37993107,-2.045828646,u-s,保定市
142,0.428409571,0.524594725,0.363622469,22.45168187,-30.68506951,u-d,泰安市
354,0.42658031,0.361469443,0.047462285,-15.26344875,-86.86962732,d-d,昌都市
109,0.423389991,0.573004725,0.394069695,35.33733371,-31.22749642,u-d,宿州市
25,0.423110365,0.490146953,0.392934694,15.84375935,-19.83328845,u-d,呼和浩特市
167,0.422671103,0.213047404,0.471715436,-49.59499183,121.4133696,d-u,济源市
128,0.42152803,0.318375198,0.2526189,-24.47116791,-20.65371248,d-d,鹰潭市
3,0.42023594,0.545541191,0.457582265,29.81783305,-16.12324192,u-d,石家庄市
7,0.418571744,0.607911825,0.43062662,45.23479755,-29.16298017,u-d,邢台市
20,0.417515617,0.444909293,0.372013958,6.561114096,-16.38431387,u-d,晋中市
214,0.416022671,0.46520875,0.460914057,11.82293236,-0.923175456,u-s,东莞市
173,0.415608634,0.332764855,0.326373893,-19.93312271,-1.920563997,d-s,鄂州市
328,0.415543604,0.507071475,0.430091297,22.02605698,-15.18132685,u-d,海西蒙古族藏族自治州
193,0.412842409,0.353849635,0.25504817,-14.28941715,-27.92187846,d-d,郴州市
273,0.411595779,0.61353849,0.428057127,49.06335811,-30.23141433,u-d,贵阳市
282,0.411008782,0.575008951,0.40911917,39.90186492,-28.84994759,u-d,昆明市
189,0.40867055,0.451774739,0.385133487,10.54741747,-14.7509912,u-d,岳阳市
291,0.407051444,0.52867697,0.169241323,29.87964489,-67.9877633,u-d,红河哈尼族彝族自治州
309,0.40579596,0.369519151,0.61619446,-8.939667364,66.75575767,d-u,商洛市
311,0.405409021,0.114535059,0.277967823,-71.74827074,142.6923472,d-u,嘉峪关市
208,0.404781701,0.457015776,0.384494832,12.90425799,-15.86836775,u-d,惠州市
53,0.40329914,0.274184116,0.461729042,-32.01470353,68.40109075,d-u,四平市
59,0.402193005,0.252339514,0.386652177,-37.25909927,53.22696429,d-u,延边朝鲜族自治州
51,0.401938944,0.480136918,0.439598341,19.4551872,-8.443128508,u-d,长春市
196,0.401424278,0.210617522,0.489352618,-47.53244048,132.3418362,d-u,娄底市
323,0.398723519,0.344613826,0.146908061,-13.5707302,-57.37023592,d-d,甘南藏族自治州
302,0.398109901,0.448534063,0.50892648,12.66588996,13.46439925,u-u,宝鸡市
16,0.397974818,0.280404086,0.328712603,-29.5422541,17.22817869,d-u,阳泉市
92,0.397898929,0.510706761,0.499151604,28.35087601,-2.26258156,u-s,绍兴市
181,0.397542522,0.058470788,0.402280905,-85.29194117,588.0032214,d-u,仙桃市
242,0.396114492,0.096627458,0.042838858,-75.60617954,-55.66595781,d-d,屯昌县
334,0.396074955,0.539191452,0.371309858,36.13369015,-31.13580406,u-d,乌鲁木齐市
22,0.396051073,0.505732867,0.446919168,27.69385099,-11.62940019,u-d,忻州市
192,0.391705888,0.363368115,0.226655966,-7.23445163,-37.62359529,d-d,益阳市
320,0.391333303,0.350817587,0.543676796,-10.35325021,54.97421342,d-u,定西市
190,0.388843068,0.341515309,0.247878115,-12.17142927,-27.41815419,d-d,常德市
15,0.386584013,0.313233354,0.374796816,-18.9740539,19.65418472,d-u,大同市
177,0.386360943,0.249775227,0.426381929,-35.35184352,70.70625223,d-u,黄冈市
