NodeID,POINT_X,POINT_Y
281,107.2500744,26.0131076
282,102.8728056,25.38711448
283,103.9377414,25.70356472
284,101.7428399,23.9193061
285,98.97093904,24.97673568
286,104.0021511,27.65349544
287,100.5239007,26.94066077
288,100.7203563,23.18600938
289,99.6092915,23.79702732
290,101.5680705,25.35191018
291,103.0350487,23.43975774
292,104.714447,23.68899453
293,100.8932101,22.10998956
294,100.0392327,25.72799586
295,98.08502122,24.55900091
296,99.26595518,26.62832663
297,99.43976826,27.95698272
298,91.08977786,30.03699292
299,95.24369372,29.20196873
300,108.7918545,34.10692425
301,109.0321533,35.19566517
302,107.2000299,34.37878942
303,108.3904668,34.78453823
304,109.8507668,34.95004769
305,109.3152027,36.43718397
306,107.1015142,33.09055454
307,109.5662544,38.03781757
308,108.9265447,32.75723318
309,109.9012688,33.64709694
310,103.6541867,36.35004255
311,98.20961949,39.82902699
312,102.0469365,38.43257257
313,105.0308675,36.22963886
314,105.7372083,34.64769464
315,103.0589664,38.17695972
316,99.82780288,38.95299234
317,107.2305251,35.19857531
318,96.05566336,40.26018494
319,107.5905504,36.16202142
320,104.4525105,35.11986746
321,105.2203504,33.59727011
322,103.2801699,35.63018333
323,102.7612846,34.85908713
324,101.437458,36.82797011
325,102.3436915,36.33201517
326,100.3029106,37.75892498
327,100.2533286,35.90236205
328,94.90238236,37.00336841
329,106.0832408,38.51412144
330,106.513046,39.00650282
331,106.5275621,37.46166133
332,106.1818049,35.91724352
333,105.5009565,37.01372234
334,87.78649488,43.75350361
335,84.93813283,45.24481983
336,89.81562963,42.39130325
337,93.51472769,43.03894438
338,89.78831593,44.34420826
339,81.84105121,44.82060073
340,87.46372951,39.49386986
341,82.56959439,41.01771284
342,77.22184746,38.15650398
343,79.29564633,35.79381809
344,82.07592935,43.4325526
345,84.79845433,43.89388089
346,88.30017915,46.07144331
347,86.03566951,44.30551931
348,81.3100738,40.59826928
348,81.3100738,40.59826928
349,87.55472587,44.36169452
350,125.0906996,40.55766979
351,110.4747428,31.59036868
352,113.8588611,19.19774678
353,86.48437562,29.48981775
354,97.73475716,30.88499323
355,93.28342698,27.83564052
356,89.26405538,32.73971614
357,82.55783456,33.02939231
358,101.5690612,34.84997192
359,99.41993734,34.11574328
360,94.32138778,34.21085634
361,76.18803712,38.20953749
362,79.1306425,39.88103847
363,87.98370598,47.24177752
364,85.57631395,41.81959563
365,82.45274929,44.82679876
366,80.58953383,43.93203994
367,79.29459821,37.27342701
368,84.78887795,44.74032499
369,120.9722716,23.75042632
370,114.0275762,22.4175568
371,113.5669816,22.14164711
